"","draw_size","tourney_date","match_num","winner_hand","winner_ioc","best_of","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"26552",32,19910429,25,1,"32",3,76,1,2,47,30,21,9,8,3,5,0,0,60,40,23,8,8,3,7
"26553",32,19910429,26,1,"25",3,119,11,2,101,59,43,21,13,6,7,2,4,83,70,44,5,12,5,8
"26554",32,19910429,27,1,"98",3,75,0,1,57,54,39,1,9,6,7,3,4,55,39,24,4,9,1,5
"26555",32,19910429,28,1,"32",3,92,0,1,66,43,35,16,11,2,2,8,1,83,45,34,22,11,12,13
"26556",32,19910429,29,1,"32",3,78,0,2,52,40,31,7,9,3,3,1,5,60,29,22,14,10,2,5
"26557",32,19910429,30,1,"98",3,102,0,0,67,48,28,13,9,6,8,1,1,85,50,26,14,10,11,17
"26558",32,19910429,31,1,"32",3,80,1,1,49,36,27,6,9,1,3,0,3,61,49,27,2,9,4,9
"26559",32,19910107,1,1,"32",3,63,1,0,53,37,30,7,9,5,6,3,0,46,30,17,7,8,2,6
"26560",32,19910107,2,1,"99",3,72,5,1,56,25,17,20,9,1,2,4,7,56,30,22,6,8,7,11
"26561",32,19910107,3,1,"35",3,101,2,4,80,55,35,16,12,2,4,1,3,68,43,24,14,11,4,8
"26562",32,19910107,4,1,"38",3,108,0,1,82,55,35,14,13,6,10,3,2,96,61,38,15,13,8,12
"26563",32,19910107,5,1,"99",3,65,4,4,65,46,34,12,10,2,2,1,3,49,25,21,12,9,4,6
"26564",32,19910107,6,1,"91",3,52,5,0,46,37,26,7,8,0,0,0,0,38,21,13,4,7,2,6
"26565",32,19910107,7,1,"75",3,86,0,0,78,62,41,10,10,6,6,1,4,62,33,22,16,10,2,4
"26566",32,19910107,8,1,"12",3,138,9,3,110,67,43,20,14,8,13,3,4,108,61,40,26,14,5,8
"26567",32,19910107,9,1,"51",3,56,5,1,47,26,23,12,9,2,3,0,0,42,32,15,6,8,1,5
"26568",32,19910107,10,1,"91",3,91,3,2,84,48,36,19,13,7,8,10,5,85,51,36,15,13,7,10
"26569",32,19910107,11,0,"15",3,114,5,2,93,55,40,18,15,4,7,2,0,88,53,35,20,14,3,5
"26570",32,19910107,12,1,"25",3,151,7,2,100,55,39,27,15,5,7,7,3,99,50,38,24,15,12,15
"26571",32,19910107,13,1,"5",3,68,2,4,57,36,28,9,7,8,8,2,3,45,23,11,9,8,2,7
"26572",32,19910107,14,1,"38",3,72,4,2,48,19,17,18,9,1,2,0,3,55,36,20,11,9,2,6
"26573",32,19910107,15,1,"90",3,55,1,1,38,20,18,14,8,0,0,5,5,54,29,14,13,8,5,9
"26574",32,19910107,16,1,"83",3,68,0,0,59,36,23,16,9,1,2,0,6,57,29,17,12,8,6,10
"26575",32,19910107,17,1,"32",3,137,8,4,130,88,64,15,15,3,5,7,4,87,47,35,28,16,1,3
"26576",32,19910107,18,1,"35",3,63,0,1,43,20,15,16,8,1,2,0,4,60,51,25,2,8,4,9
"26577",32,19910107,19,1,"91",3,142,2,2,108,82,48,14,15,8,13,2,7,109,64,39,21,16,10,16
"26578",32,19910107,20,1,"12",3,61,5,0,49,28,19,14,8,5,6,0,2,51,34,21,4,8,2,7
"26579",32,19910107,21,1,"91",3,145,4,2,112,71,50,16,17,11,16,10,5,127,54,35,37,16,13,18
"26580",32,19910107,22,1,"25",3,77,7,0,52,34,29,10,10,4,5,7,1,72,41,28,13,10,3,6
"26581",32,19910107,23,1,"38",3,135,7,2,96,55,34,22,16,3,7,6,5,108,59,41,21,16,1,6
"26582",32,19910107,24,1,"90",3,142,6,0,116,53,34,33,16,8,13,2,6,99,62,38,12,15,3,10
"26583",32,19910107,25,1,"35",3,87,3,5,71,42,28,16,10,0,2,1,0,57,41,26,6,10,4,8
"26584",32,19910107,26,1,"12",3,70,3,1,55,32,27,13,10,0,3,2,2,57,36,24,2,9,3,7
"26585",32,19910107,27,1,"25",3,70,3,1,55,32,27,13,10,0,3,2,2,57,36,24,2,9,3,7
"26586",32,19910107,28,1,"90",3,130,8,8,104,51,35,31,15,9,12,5,1,86,55,38,13,14,7,11
"26587",32,19910107,29,1,"35",3,129,6,3,89,46,36,18,14,5,8,5,0,87,48,32,22,14,4,8
"26588",32,19910107,30,1,"25",3,114,3,2,86,47,30,24,13,4,6,5,2,69,34,26,14,13,1,6
"26589",32,19910107,31,1,"25",3,124,5,3,78,41,32,23,12,0,2,4,3,91,55,38,18,12,3,5
"26590",32,19910415,1,1,"2",3,72,3,0,53,22,16,18,8,6,7,1,4,51,19,13,11,8,3,8
"26591",32,19910415,2,1,"99",3,103,1,5,82,57,38,9,12,4,9,3,7,81,37,24,16,12,6,11
"26592",32,19910415,3,1,"32",3,85,2,2,59,43,27,8,9,11,13,6,3,63,32,19,11,9,4,9
"26593",32,19910415,4,1,"51",3,95,2,0,64,32,24,18,9,5,7,0,3,62,34,17,12,9,7,12
"26594",32,19910415,5,0,"29",3,66,1,6,74,30,22,22,9,4,6,0,7,80,43,22,15,9,8,13
"26595",32,19910415,6,1,"2",3,84,3,1,62,30,23,18,9,3,5,0,0,58,51,21,5,9,1,6
"26596",32,19910415,7,0,"38",3,136,1,4,107,60,39,21,16,11,16,0,7,100,57,36,19,15,8,14
"26597",32,19910415,8,1,"25",3,65,4,1,47,18,17,20,9,1,1,0,5,50,21,17,12,8,3,6
"26598",32,19910415,9,1,"2",3,59,1,1,42,26,23,11,8,2,2,0,3,51,29,18,7,8,4,8
"26599",32,19910415,10,1,"23",3,58,1,0,37,24,22,10,8,0,0,3,4,48,28,20,5,8,2,6
"26600",32,19910415,11,0,"2",3,82,0,1,64,33,18,23,9,6,7,1,1,60,30,17,15,8,8,12
"26601",32,19910415,12,1,"2",3,128,3,1,99,65,43,18,15,7,10,3,2,102,58,37,23,15,5,9
"26602",32,19910415,13,0,"83",3,125,0,4,96,46,33,24,16,3,7,1,10,114,66,44,20,16,9,15
"26603",32,19910415,14,1,"35",3,127,4,7,82,35,25,23,13,3,7,0,4,103,39,22,30,13,14,20
"26604",32,19910415,15,0,"35",3,67,6,2,58,20,12,25,8,3,4,0,6,53,31,18,6,8,6,11
"26605",32,19910415,16,1,"83",3,59,0,0,66,51,30,11,8,5,6,0,2,44,31,13,5,8,3,8
